Provider Name,State,City,Claims_Paid_for_Testing,Claims_Paid_for_Treatment,Georeferenced Column
FLORIDA HOSPITAL CENTR,FL,TAMPA,3143.83,0,POINT (-82.458776 27.947423)
MCHS ALBERT LEA,WI,EAU CLAIRE,144.13,198.00,POINT (-91.49917 44.812135)
NEW HORIZON FAMILY HEA,SC,GREENVILLE,199.50,82.98,POINT (-82.398964 34.850746)
EMERGENCY PHYSICIANS O,MO,CHESTERFIELD,473.31,1122.02,POINT (-90.564272 38.661405)
DLP CONEMAUGH PHYSICIA,PA,JOHNSTOWN,120.43,0,POINT (-78.917492 40.325942000000005)
MPV NEW JERSEY MD SERV,NJ,EMERSON,0,5451.90,POINT (-74.024557 40.974783)
GOLDEN VALLEY HEALTH C,CA,DOS PALOS,178.45,0,POINT (-120.63556999999999 36.984887)
JFK MEDICAL CENTER,FL,WEST PALM BEACH,5122.12,13972.08,POINT (-80.054947 26.714439)
TITUSVILLE AREA HOSPIT,PA,MEADVILLE,650.82,73.62,POINT (-80.147115 41.646099)
LAHEY PHYSICIAN COMMUN,MA,GLOUCESTER,102.64,0,POINT (-70.66893 42.616135)
PROVIDENCE ST VINCENT,OR,PORTLAND,6511.47,8161.53,POINT (-122.68142500000002 45.516018)
PROGRESSIVE COMM HEALT,WI,MILWAUKEE,136.71,0,POINT (-87.909421 43.041072)
E MED LLP,FL,BOCA RATON,4564.29,70.35,POINT (-80.08983100000002 26.35052)
ST LUKES ROOSEVELT HOS,NY,NEW YORK,3264.93,69342.87,POINT (-74.007228 40.713054)
NORTH SOUND EMERGENCY,WA,MONROE,7729.84,1612.31,POINT (-121.98240200000001 47.852111)
ADVANTAGECARE PHYSICAN,NY,NEW YORK,107.67,0,POINT (-74.007228 40.713054)
DAHL MEMORIAL CLINIC,AK,SKAGWAY,23.46,0,POINT (-135.312031 59.458572999999994)
ADVENTIST HEALTH PARTN,IL,ROMEOVILLE,105.13,0,POINT (-88.087129 41.647813)
FREMONT EMERGENCY SERV,NV,LAS VEGAS,10419.25,2407.15,POINT (-115.14059700000001 36.169202)
EDWARD W SPARROW HOSPI,MI,LANSING,18290.20,67622.41,POINT (-84.553927 42.733625)
HUB CITY PHYSICIAN GRP,LA,KAPLAN,0,1276.98,POINT (-92.28272 30.00522)
NORTH HUDSON COMMUNITY,NJ,GARFIELD,242.67,21768.79,POINT (-74.108781 40.882481)
PATIENT FIRST,PA,FAIRLESS HILLS,99.26,0,POINT (-74.854473 40.177821)
RIVERBANK INPATIENT ME,NJ,BELLEVILLE,0,4694.22,POINT (-74.152885 40.787363)
CHATTANOOGA EMERGENCY,TN,CHATTANOOGA,3253.22,777.56,POINT (-85.308287 35.045756)
SULLIVAN COUNTY MEMORI,MO,MILAN,2674.98,107.70,POINT (-93.117367 40.20221)
LOWER BUCKS HOSPITAL,PA,BRISTOL,0,320.65,POINT (-74.858302 40.095744)
OPEN DOOR FAMILY MEDIC,NY,MOUNT KISCO,17353.68,9988.53,POINT (-73.726657 41.207297)
NUCH OF MICHIGAN INC,MI,LIVONIA,3005.76,458.76,POINT (-83.36961000000001 42.39709)
HEALTH QUEST MEDICAL P,NY,CARMEL,200.41,2170.27,POINT (-73.686018 41.414739)
DIVINITY MEDICAL SERVI,NY,YORKTOWN HEIGHTS,11385.49,1170.92,POINT (-73.7782 41.272299)
FLORIDA CLINICAL PRACT,FL,GAINESVILLE,75.39,0,POINT (-82.325024 29.651958)
MARION REGIONAL MEDICA,AL,HAMILTON,2858.13,0,POINT (-87.988602 34.142295)
GREENFIELD FIRE DEPART,IN,GREENFIELD,0,369.98,POINT (-85.769273 39.785199)
EXCEL URGENT CARE OF A,NY,HOWARD BEACH,943.06,0,POINT (-73.8367 40.657799)
HIGH POINT REGIONAL HE,NC,HIGH POINT,1205.08,149758.16,POINT (-80.003935 35.953972)
PAUL OLIVER MEMORIAL H,MI,FRANKFORT,457.88,0,POINT (-86.234236 44.633545)
NOVANT HEALTH FORSYTH,NC,YADKINVILLE,527.92,179.19,POINT (-80.659648 36.134498)
BENTON HEALTH CENTER,OR,CORVALLIS,318.11,100.54,POINT (-123.27770300000002 44.571648)
ST VINCENT HOSPITAL,WI,MANITOWOC,31.46,0,POINT (-87.657795 44.088844)
HAZLETON PROFESSIONAL,PA,HAZLETON,37.76,997.52,POINT (-75.974446 40.960001)
ASSOCIATES IN PULMONAR,NJ,DENVILLE,0,92874.84,POINT (-74.4786 40.889066)
UNITED NEIGHBORHOOD HE,TN,MADISON,213.05,0,POINT (-86.713898 36.2561)
WEST BOYNTON URGENT CA,FL,HIALEAH,5127.08,558.84,POINT (-80.281502 25.827202)
FRANCISCAN MEDICAL GRO,WA,BURIEN,263.29,18336.84,POINT (-122.34722 47.466748)
PACIFIC MEDICAL CENTER,WA,SEATTLE,51.07,51.07,POINT (-122.33028000000002 47.603229)
BLUE RIDGE HEALTH CENT,VA,ARRINGTON,267.63,0,POINT (-78.901883 37.683535)
INTEGRIS SEMINOLE MEDI,OK,SEMINOLE,297.85,0,POINT (-96.668538 35.224433)
APP OF SOUTH CAROLINA,SC,CAMDEN,0,141.33,POINT (-80.607592 34.251612)
INTEGRIS SOUTHWEST MED,OK,OKLAHOMA CITY,32095.61,67989.14,POINT (-97.521264 35.468494)
MPL,TN,MEMPHIS,134716.65,13315.97,POINT (-90.052136 35.143378)
MOUNT CARMEL HEALTH PR,OH,COLUMBUS,0,223.12,POINT (-82.996216 39.962649)
AURORA ADVANCED HEALTH,WI,HARTFORD,462.31,159.84,POINT (-88.42342500000001 43.333437)
SEA MAR COMMUNITY HEAL,WA,EVERETT,265.32,184.80,POINT (-122.195893 47.97913)
SAINT JOSEPH REGIONAL,IN,MISHAWAKA,0,7629.27,POINT (-86.1793 41.661126)
FIRST CHOICE PHYSICIAN,CA,PALM SPRINGS,0,1525.72,POINT (-116.54684299999998 33.830302)
SOUTH LAKE HOSPITAL,FL,CLERMONT,1270.94,0,POINT (-81.732898 28.49532)
CARESOUTH CRISP REGION,GA,CORDELE,21960.88,110048.98,POINT (-83.782663 31.969116)
PROVIDENCE SACRED HEAR,WA,SPOKANE,4387.75,849.33,POINT (-117.42502200000001 47.658999)
INOVA HEALTH CARE SERV,VA,LEESBURG,2797.52,169698.67,POINT (-77.550635 39.108)
MONTEFIORE MEDICAL CEN,NJ,SOUTH AMBOY,89.99,0,POINT (-74.2805 40.483866)
COMMUNITY HEALTH CENTE,KS,FORT SCOTT,3216.72,0,POINT (-94.706234 37.841955)
NOVANT HEALTH FORSYTH,NC,LEWISVILLE,264.69,50.62,POINT (-80.414635 36.099844)
HACKENSACK UNIVERSITY,NJ,BRICK,0,125849.76,POINT (-74.153109 40.074835)
ST FRANCIS CARDIOVASCU,NY,NORTH BELLMORE,0,3311.27,POINT (-73.542598 40.691162)
DOCTORS OFFICE OF MANA,NJ,MANALAPAN,3536.85,381.22,POINT (-74.343716 40.279826)
RUSH UNIVERSITY MEDICA,IL,CHICAGO,0,2319.98,POINT (-87.632398 41.88322900000001)
AHN WESTMORELAND PRIMA,PA,MONROEVILLE,590.11,0,POINT (-79.79027 40.424653)
EXPRESS FAMILY CARE LL,FL,CRESCENT CITY,459.42,0,POINT (-81.51313 29.431366)
ESSEN MEDICAL ASSOCIAT,NY,BRONX,269.97,4509.39,POINT (-73.920265 40.826153)
AFC URGENT CARE,NJ,BOUND BROOK,1246.21,0,POINT (-74.53224 40.56157900000001)
MERCY CLINIC PHYSICAL,MO,UNION,71.16,0,POINT (-91.058951 38.433235)
ESSENTIA HEALTH DULUTH,MN,DULUTH,946.95,518.26,POINT (-92.10545700000002 46.782882)
MARY WASHINGTON HOSPIT,VA,FREDERICKSBURG,7489.18,285082.33,POINT (-77.460658 38.303297)
OAKWOOD AMBULATORY LLC,MI,NOVI,0,27.48,POINT (-83.474698 42.466585)
LAAMBDA HEALTHCARE INC,TN,MEMPHIS,0,349.55,POINT (-90.052136 35.143378)
MEADOWS REGIONAL MEDIC,GA,VIDALIA,3124.38,14673.94,POINT (-82.412445 32.218842)
CAROLINAS PHYSICIANS N,NC,SHELBY,366.59,0,POINT (-81.540219 35.29193)
FAMILY HEALTH CENTERS,MD,BALTIMORE,535.74,0,POINT (-76.612333 39.290443)
SENTARA HEALTHCARE,VA,SUFFOLK,24218.34,7816.51,POINT (-76.583192 36.728187)
SPECIALTY PHYSICIANS O,IL,HAZEL CREST,0,1905.87,POINT (-87.694358 41.58093)
NOVANT MEDICAL GROUP,NC,DENVER,72.77,0,POINT (-81.030357 35.531952)
ST ROSE DOMINICAN HOSP,NV,LAS VEGAS,2191.36,41840.16,POINT (-115.14059700000001 36.169202)
CEP AMERICA LLC,AZ,SUN CITY WEST,41187.74,7460.84,POINT (-112.350925 33.656937)
BANNER HOSPITAL BASED,CO,GREELEY,0,2301.02,POINT (-104.694445 40.422554000000005)
Air Evac EMS Inc,MO,WEST PLAINS,0,35333.54,POINT (-91.852504 36.731121)
SOUTH SHORE HOSPITAL,MA,SOUTH WEYMOUTH,10944.36,22568.35,POINT (-70.949997 42.174999)
NORTH SHORE URGENT CAR,NY,EAST NORTHPORT,2999.97,0,POINT (-73.324717 40.876963)
MIDWEST EMERGENCY DEPA,IL,SPRINGFIELD,0,355.72,POINT (-89.643624 39.79936)
OLEAN GENERAL HOSPITAL,PA,BRADFORD,100.00,100.00,POINT (-78.626271 41.964438)
MERCY MEDICAL CENTER D,IA,DUBUQUE,9307.59,131795.01,POINT (-90.667314 42.505512)
EASTERN IDAHO REGIONAL,ID,IDAHO FALLS,7646.83,2564.18,POINT (-112.039087 43.490842)
DUBLIN NEPHROLOGY CARE,GA,DUBLIN,0,2866.33,POINT (-82.904572 32.539994)
CITY OF LAWRENCE,IN,INDIANAPOLIS,0,2316.13,POINT (-86.156212 39.76845)
UNITED MEDICAL CENTERS,TX,EAGLE PASS,14894.86,221.42,POINT (-100.500457 28.706045)
CARROLLTON EMERGENCY P,GA,CARROLLTON,14075.60,2600.08,POINT (-85.077583 33.580312)
SHERMAN HOSPITAL,IL,ELGIN,0,219328.60,POINT (-88.283975 42.039567)
SUNDANCE PHYSICIAN SER,TX,SHERMAN,1646.46,179.80,POINT (-96.60901700000001 33.63559)
DOCTORS EXPRESS HARTSD,NY,BRONX,2455.75,129.72,POINT (-73.920265 40.826153)
Orange Regional Medica,NY,MIDDLETOWN,313.08,196972.41,POINT (-74.420024 41.445053)
ORLANDO HEALTH,FL,KISSIMMEE,4996.78,16007.79,POINT (-81.402518 28.294751000000005)
KINGS DAUGHTERS MEDICA,OH,WHEELERSBURG,60.20,0,POINT (-82.855603 38.73033)
PRIORITY AMBULANCE,TN,KNOXVILLE,0,1252.92,POINT (-83.916677 35.962631)
EMERGENCY PHYSICIANS O,FL,SUNRISE,295.06,0,POINT (-80.293714 26.169208)
HARTFORD HEALTHCARE ME,CT,MILFORD,0,254.85,POINT (-73.057564 41.224276)
PRESBYTERIAN MEDICAL C,PA,PHILADELPHIA,29299.76,13477.09,POINT (-75.16562 39.951061)
VITUITY NEVADA KOURY A,NV,HENDERSON,1364.29,0,POINT (-114.98445500000001 36.034095)
MIDLAND EMERGENCY MANA,TX,MIDLAND,1956.30,0,POINT (-102.078043 31.997433000000004)
STURDY MEMORIAL HOSPIT,MA,ATTLEBORO,923.94,14316.42,POINT (-71.284088 41.944543)
WELLSTAR MARIETTA INTE,GA,ATLANTA,0,160.17,POINT (-84.391502 33.748547)
DEAN CLINIC,WI,MINERAL POINT,102.66,0,POINT (-90.187289 42.862366)
SUTTER HEALTH SACRAMEN,CA,VALLEJO,15611.38,1125.92,POINT (-122.254959 38.101088)
SSM MEDICAL GROUP INC,MO,SAINT LOUIS,0,1192.95,POINT (-90.200309 38.630276)
THE GEORGE WASHINGTON,DC,WASHINGTON,0,24844.21,POINT (-77.019912 38.892062)
UNIVERSITY HOSPITALS M,OH,CLEVELAND,102.18,0,POINT (-81.6915 41.505546)
PRESBYTERIAN HOSPITAL,NC,MATTHEWS,20561.98,42395.18,POINT (-80.72021 35.118275)
INFINITY HEALTHCARE PH,WI,THIENSVILLE,177.13,0,POINT (-87.979054 43.234785)
CAPITAL HEALTH MEDICAL,NJ,PENNINGTON,0,6559.21,POINT (-74.791062 40.328088)
CLINICAL CARE ASSOCIAT,PA,PHILADELPHIA,110.14,194.73,POINT (-75.16562 39.951061)
COLUMBUS DIVISION OF F,OH,COLUMBUS,0,11013.89,POINT (-82.996216 39.962649)
MACOMB EMERGENCY PHYSI,MI,MOUNT CLEMENS,8186.71,1606.09,POINT (-82.878335 42.596795)
AVERA MCKENNAN,IA,SPIRIT LAKE,0,865.65,POINT (-95.102261 43.422624)
HENDERSONVILLE MEDICAL,TN,HENDERSONVILLE,28289.63,83169.11,POINT (-86.624418 36.303899)
UNIVERSITY OF PENN MED,PA,NEWTOWN,63.49,45.35,POINT (-74.936708 40.22929)
PARTNERS COMMUNITY PHY,MA,BOSTON,29.21,56.38,POINT (-71.056742 42.358894)
PRIMARY CARE PARTNERS,NJ,WEST CALDWELL,122.61,0,POINT (-74.29164 40.849066)
THE EMORY CLINIC,GA,SOCIAL CIRCLE,0,639.79,POINT (-83.718567 33.656194)
INFECTIOUS DISEASE DOC,TX,BEDFORD,0,16058.07,POINT (-97.143237 32.844252)
MEDCARE URGENT CARE,SC,SPARTANBURG,126.19,0,POINT (-81.934664 34.947914)
INOVA HEALTH CARE SERV,VA,ALEXANDRIA,9066.18,478450.62,POINT (-77.043614 38.804665)
MATRIX OCCUPATIONAL HE,NC,BURLINGTON,11658.94,0,POINT (-79.433217 36.099177)
CHIPPEWA VALLEY HOSPIT,WI,DURAND,1373.41,0,POINT (-91.967067 44.625786)
HOLY REDEEMER HOSPITAL,PA,MEADOWBROOK,0,12649.12,POINT (-75.078598 40.112499)
GALLAHUE MENTAL HEALTH,IN,INDIANAPOLIS,45406.77,257977.41,POINT (-86.156212 39.76845)
WESTSIDE FAMILY HEALTH,DE,BEAR,1502.81,0,POINT (-75.660339 39.624377)
PROVIDENCE WILLAMETTE,OR,OREGON CITY,4643.66,0,POINT (-122.590784 45.33675)
OAKWOOD AMBULATORY LLC,MI,CANTON,0,539.25,POINT (-83.486713 42.297972)
HUMC CARDIOVASCULAR PA,NJ,RIDGEFIELD,0,86.26,POINT (-74.01034 40.830437)
MARYLAND EMERGENCY MED,MD,CHEVERLY,1173.78,830.35,POINT (-76.912982 38.927709)
INTERMOUNTAIN HEALTHCA,UT,BOUNTIFUL,306.29,174.97,POINT (-111.878388 40.879209)
ST VINCENT MEDICAL GRO,IN,NOBLESVILLE,28.99,0,POINT (-86.012241 40.045604)
AURORA ADVANCED HEALTH,WI,WAUWATOSA,76.65,0,POINT (-88.007463 43.058907)
OKLAHOMA EMERGENCY PHY,OK,DURANT,417.94,0,POINT (-96.387254 33.991879)
THE EMORY CLINIC,GA,TUCKER,0,2943.21,POINT (-84.214594 33.853725)
LARKIN EMERGENCY PHYSI,FL,HIALEAH,2413.96,2347.63,POINT (-80.281502 25.827202)
BESSSEMER EMERGENCY PH,AL,BIRMINGHAM,553.35,0,POINT (-86.807705 33.522859)
MARIN GENERAL HOSPITAL,CA,GREENBRAE,0,2773.32,POINT (-122.52472200000001 37.94861100000001)
PRIMARY CARE PARTNERS,NJ,HACKETTSTOWN,121.57,0,POINT (-74.827567 40.852269)
CENTRACARE CLINIC,MN,SAINT CLOUD,548.12,4508.68,POINT (-94.115542 45.569048)
THE HARBORAGE,NJ,RED BANK,0,7124.16,POINT (-74.064964 40.347098)
REGIONAL MEDICAL LABOR,OK,TULSA,12783.25,0,POINT (-95.992083 36.155327)
AURORA HEALTH CARE,WI,MILWAUKEE,1364.24,765.00,POINT (-87.909421 43.041072)
INFECTIOUS DISEASE SER,GA,SUWANEE,0,5136.96,POINT (-84.065935 34.058175)
CORRECT CARE INC,LA,DEQUINCY,3651.73,1426.83,POINT (-93.433098 30.4503)
CODMAN SQUARE HEALTH C,MA,DORCHESTER,2330.80,387.99,POINT (-71.074997 42.297199)
PURDUE UNIVERSITY STUD,IN,DELPHI,214.37,51.33,POINT (-86.673992 40.586141)
CENTER FOR PAN ASIAN C,GA,PEACHTREE CORNERS,4120.28,0,POINT (-84.221672 33.970001)
EXPRESS CARE WA LLC,WA,KENNEWICK,256.65,0,POINT (-119.116969 46.202607)
IOWA PHYSICIANS CLINIC,IL,PEORIA HEIGHTS,1819.18,0,POINT (-89.573971 40.746305)
FLORIDA HOSPITAL HEALT,FL,ORANGE CITY,0,731.88,POINT (-81.298843 28.948791000000003)
GREAT PLAINS OF CHEYEN,KS,SAINT FRANCIS,84.24,0,POINT (-101.801403 39.767203)
ATLANTIC DIAGNOSTIC LA,PA,BENSALEM,477.82,0,POINT (-74.942875 40.110248)
COMMUNITY HEALTH ASSOC,WA,SPOKANE,424.94,0,POINT (-117.42502200000001 47.658999)
OCEAN HEALTH INITIATIV,NJ,BRICK,171.15,93.74,POINT (-74.153109 40.074835)
METROPLEX INFECTIONS D,TX,FORT WORTH,0,422.16,POINT (-97.340038 32.739977)
PULMONARY AND SLEEP PH,TX,WEBSTER,0,7599.26,POINT (-95.12788800000001 29.537168999999995)
MEDCARE URGENT CARE,SC,ANDERSON,792.70,0,POINT (-82.651189 34.49987)
UNIVERSITY HOSPITALS G,OH,GENEVA,1898.26,0,POINT (-80.946036 41.805864)
THE URGENCY ROOM,MN,SAINT PAUL,412.37,667.22,POINT (-93.094281 44.943719)
AVERA MCKENNAN,SD,BRANDON,42.93,42.93,POINT (-96.572299 43.596425)
SCOTT AND WHITE HOSPIT,TX,MARBLE FALLS,1664.10,0,POINT (-98.27295 30.578353999999997)
DES MOINES PHYSICIANS,IA,WEST DES MOINES,571.27,148.54,POINT (-93.713031 41.575505)
EPSS NORTH LLC,TX,FORT WORTH,225.27,0,POINT (-97.340038 32.739977)
FLORIDIAN EMERGENCY SP,FL,MELBOURNE,181.53,0,POINT (-80.603516 28.079931000000002)
CAROLINA HEALTHCARE AS,NC,WILMINGTON,513.41,1856.39,POINT (-77.946197 34.2367)
NORTHWEST RADIOLOGY NE,IN,FISHERS,174.00,17.90,POINT (-86.01554700000001 39.956783)
NYPMG QUEENS,NY,MASPETH,0,255.51,POINT (-73.913101 40.723099)
REBECCA GRIGGS,TN,JACKSON,65.98,0,POINT (-88.81938 35.614344)
ARKANSAS HEALTH GROUP,AR,NORTH LITTLE ROCK,69.37,0,POINT (-92.267774 34.756059)
MERCY CLINIC SPRINGFIE,MO,BOLIVAR,59.86,0,POINT (-93.41462 37.613929)
MOSES CONE PHYSICIANS,NC,GREENSBORO,0,282.24,POINT (-79.793899 36.072701)
GORDON HOME CARE,GA,CALHOUN,13851.82,69593.68,POINT (-84.951288 34.502547)
INOVA HEALTH CARE SERV,VA,ARLINGTON,0,1096.42,POINT (-77.084755 38.890763)
INTEGRIS MEDICAL GROUP,OK,MIAMI,562.80,828.43,POINT (-94.877542 36.876224)
JAMI GRAY,SC,LITTLE RIVER,29772.08,189.24,POINT (-78.626569 33.870387)
DEPARTMENT OF MEDICINE,NY,FAYETTEVILLE,0,73.56,POINT (-76.004518 43.029967)
SAURABH A PANDE PA,TX,EL PASO,0,4104.74,POINT (-106.492257 31.76006)
HIGHTOWER EMERGENCY GR,GA,THOMASTON,530.71,706.03,POINT (-84.32623 32.887181)
WEST HAWAII COMMUNITY,HI,KAILUA KONA,82.84,0,POINT (-155.996629 19.641846)
AURORA MEDICAL GROUP,WI,MILWAUKEE,0,24.75,POINT (-87.909421 43.041072)
EMERGENCY MEDICINE PHY,NC,NEW BERN,182.86,817.12,POINT (-77.04612 35.108318)
STANLEY MATHEW MD LLC,IA,CEDAR RAPIDS,0,59.39,POINT (-91.669808 41.978122)
BANNER PHYSICIAN SPECI,AZ,PHOENIX,0,15695.26,POINT (-112.072585 33.448204)
SUNSET COMMUNITY HEALT,AZ,YUMA,956.10,217.54,POINT (-114.62088000000001 32.722313)
THE METHODIST HOSPITAL,IN,MERRILLVILLE,23583.03,33454.63,POINT (-87.363432 41.50734700000001)
LEHIGH VALLEY PHYSICIA,PA,ALLENTOWN,593.82,1119.40,POINT (-75.469759 40.602753)
CHRISTIANA CARE HEALTH,DE,WILMINGTON,58781.31,154457.99,POINT (-75.5451 39.744432)
UPSTATE MEDICAL ANESTH,NY,SYRACUSE,0,334.80,POINT (-76.147448 43.047945)
McLeod Health Cheraw,SC,CHERAW,2847.96,37835.46,POINT (-79.891247 34.693328)
VALLEY VIEW HOSPITAL,CO,EAGLE,2273.39,0,POINT (-106.823597 39.654251)
NES MEDICAL SERVICES O,CT,PUTNAM,2474.52,524.57,POINT (-71.911904 41.914993)
RAINIER EMERGENCY PHYS,FL,PLANT CITY,430.76,0,POINT (-82.12042 27.998304)
HEALTHALLIANCE HOSPITA,NY,KINGSTON,3805.91,17140.18,POINT (-73.997619 41.927062)
ETMC PHYSICIAN GROUP I,TX,HENDERSON,0,4470.79,POINT (-94.798146 32.157885)
GENESIS HEALTH SYSTEM,IA,DAVENPORT,115.50,0,POINT (-90.577036 41.523527)
TEXAS HEALTH HARRIS ME,TX,FORT WORTH,0,28247.56,POINT (-97.340038 32.739977)
PATIENT FIRST,VA,GAINESVILLE,276.08,0,POINT (-77.609846 38.791953)
COMMUNITY HEALTHCARE N,NY,NEW YORK,1039.57,0,POINT (-74.007228 40.713054)
MID AMERICA CARDIOLOGY,KS,KANSAS CITY,23.46,766.12,POINT (-94.626804 39.1127)
MEP HEALTH LLC,MD,RANDALLSTOWN,737.82,0,POINT (-76.799245 39.369079)
WOODLANDS EMERGENCY PH,TX,HOUSTON,6071.57,732.51,POINT (-95.369506 29.760803)
Bristol Hospital Inc,CT,BRISTOL,349.42,31962.21,POINT (-72.945791 41.673037)
FIRST PHYSICIANS CORPO,MA,WAREHAM,7666.28,670.96,POINT (-70.727434 41.758841)
SOUTH SHORE MEDICAL CE,MA,NORWELL,8399.36,2442.10,POINT (-70.793765 42.161762)
GEISINGER CARESITE PHA,PA,DANVILLE,434.22,867.75,POINT (-76.617014 40.964384)
MEDICAL ASSOCIATES LLP,IN,INDIANAPOLIS,2842.78,738.25,POINT (-86.156212 39.76845)
DIAGNOSTIC LABORATORY,HI,AIEA,27194.03,256.65,POINT (-157.930911 21.379009)
VIRGINIA GARCIA MEMORI,OR,HILLSBORO,1137.42,326.34,POINT (-122.989739 45.52395)
ST LUKES CLINIC,ID,TWIN FALLS,12674.60,6682.22,POINT (-114.46027800000002 42.563181)
FAIRVIEW CLINICS,MN,SAINT PAUL,51.33,0,POINT (-93.094281 44.943719)
INOVA HEALTH CARE SERV,VA,DUNN LORING,0,647.41,POINT (-77.221543 38.893329)
MOUNT CARMEL HEALTH PR,OH,GROVEPORT,51.78,0,POINT (-82.900133 39.855834)
AFFINITY MEDICAL GROUP,WI,OSHKOSH,0,72.24,POINT (-88.540014 44.020796)
FAMILY CARE CENTER PC,OR,REDMOND,1510.41,67.86,POINT (-121.17431000000002 44.272553)
JEFFERSON MEDICAL CARE,NJ,CHERRY HILL,0,80.78,POINT (-75.030928 39.925801)
UMC PHYSICIANS,TX,LUBBOCK,199.08,0,POINT (-101.855113 33.583578)
BEST PRACTICES INPATIE,IL,ARLINGTON HEIGHTS,0,19505.94,POINT (-87.98051 42.08296)
CRESTWOOD HEALTHCARE L,AL,HUNTSVILLE,6647.66,10916.45,POINT (-86.585283 34.729538)
RAHWAY MEDICAL AND NEP,NJ,RAHWAY,0,2021.65,POINT (-74.277505 40.606013)
LEHIGH VALLEY PHYSICIA,PA,KUTZTOWN,106.98,288.30,POINT (-75.776185 40.518999)
SMA MEDICAL LAB,PA,FEASTERVILLE TREVOSE,5468.52,25468.52,POINT (-74.981201 40.149601)
HEALTHONE HEART CARE L,CO,CASTLE ROCK,0,8.70,POINT (-104.859911 39.375367)
CAPE FEAR VALLEY HOKE,NC,RAEFORD,317.43,0,POINT (-79.224111 34.978744)
FAMILY HEALTH CENTERS,WA,TONASKET,399.45,0,POINT (-119.43753300000002 48.707099)
CHEROKEE NATION,OK,STILWELL,51.33,0,POINT (-94.628465 35.81453)
UNIVERSITY OF PGH PHYS,PA,MCKEESPORT,295.44,0,POINT (-79.866644 40.35077)
MEDCARE URGENT CARE,SC,NORTH CHARLESTON,205.24,0,POINT (-80.013227 32.87887)
UNITED EMERGENCY SERVI,MS,COLUMBUS,1365.00,2074.33,POINT (-88.424393 33.495562)
HARVEY ANESTHESIOLOGIS,IL,HARVEY,0,774.12,POINT (-87.644598 41.609919)
PRIVIA MEDICAL GROUP,VA,FALLS CHURCH,588.61,89.18,POINT (-77.173697 38.88393400000001)
THE CHRIST HOSPITAL ME,KY,LAKESIDE PARK,70.82,0,POINT (-84.567689 39.032966)
UNITY CARE NW,WA,POINT ROBERTS,76.10,0,POINT (-123.08210200000002 48.984216)
NORTH SHORE LIJ,NY,MANHASSET,464.54,5345.69,POINT (-73.699407 40.796783)
CMC DEPARTMENT OF MEDI,NJ,SEWELL,0,54.66,POINT (-75.144699 39.766399)
UNIVERSITY OF PENN MED,PA,PHOENIXVILLE,0,9.83,POINT (-75.515819 40.132857)
JEWISH HOSPITAL LLC,OH,CINCINNATI,954.17,0,POINT (-84.513808 39.104427)
NORTHWESTERN MEDICINE,IL,MCHENRY,8.55,0,POINT (-88.27339 42.344597)
FRANCISCAN PHYSICIAN N,IN,INDIANAPOLIS,101.83,0,POINT (-86.156212 39.76845)
MERCY MEDICAL CENTER,NY,GARDEN CITY,522.88,989.69,POINT (-73.63508 40.728121)
ISLAND EMERGENCY MEDIC,NY,FAR ROCKAWAY,6192.78,2784.09,POINT (-73.7556 40.605301)
ATHENS NEIGHBORHOOD HE,GA,ATHENS,1310.00,0,POINT (-83.376798 33.957412000000005)
GREATER NEWBURYPORT EM,MA,MELROSE,124.85,0,POINT (-71.064679 42.456133)
HEALTH SERVICES OF CEN,GA,BYRON,0,759.54,POINT (-83.758848 32.653399)
UCHEALTH MEDICAL GROUP,CO,GREELEY,607.82,567.94,POINT (-104.694445 40.422554000000005)
SLUCARE,MO,SAINT LOUIS,0,8.58,POINT (-90.200309 38.630276)
UTHEALTH CARTHAGE,TX,CARTHAGE,170.07,245.28,POINT (-94.338483 32.156595)
MIDWEST PULMONARY CRIT,IL,PALOS HEIGHTS,0,20997.60,POINT (-87.79891 41.667958)
THE BIBB COUNTY HEALTH,AL,CENTREVILLE,763.99,0,POINT (-87.135256 32.944867)
HOSPITAL INNOVATION PH,FL,CLEWISTON,0,1986.62,POINT (-80.946915 26.749279)
NOVANT MEDICAL GROUP,NC,MOORESVILLE,77.95,0,POINT (-80.812784 35.582567)
AFFILIATED LABORATORY,ME,PORTLAND,2194.01,0,POINT (-70.256519 43.659218)
HENRY FORD ALLEGIANCE,MI,JACKSON,2736.36,0,POINT (-84.408847 42.247454)
KNOX HOSPITAL COMPANY,IN,KNOX,1323.16,342.82,POINT (-86.620675 41.28806)
HH HEALTH SYSTEM  MARS,AL,GUNTERSVILLE,0,11721.54,POINT (-86.303388 34.346305)
PETERSON REGIONAL MEDI,TX,KERRVILLE,7309.76,0,POINT (-99.135299 30.042787000000004)
ARKANSAS HEALTH GROUP,AR,LITTLE ROCK,0,4855.67,POINT (-92.275105 34.748745)
HELEN KELLER HOSPITAL,AL,SHEFFIELD,3888.79,6142.99,POINT (-87.698592 34.759846)
PARK RIDGE HOME HEALTH,NC,HENDERSONVILLE,0,25.35,POINT (-82.459174 35.317901)
METROPLEX ADVENTIST HO,TX,LAMPASAS,2223.12,0,POINT (-98.18203 31.06374)
Homestead Hospital,FL,HOMESTEAD,122265.15,253192.76,POINT (-80.477347 25.469811)
PRIVIA MEDICAL GROUP O,GA,CLEVELAND,71.87,0,POINT (-83.762891 34.596724)
